id	short_content	full_content	authors	date	affiliations	url
0	A Framework for Mesh Segmentation and Annotation using Ontologies	le segmentation et annotation de maillage utiliser le sémantique avoir être le objet de un intérêt grandissant avec le démocratisation des technique de reconstruction 3Darles un approche classique consister à réaliser ce tâche en deux étape , tout de abord en segmenter le maillage , puis en cla annoter . cependant , ce approche ne permettre pas à chaque étape de profiter de le autre . en traitement de image , quelque méthode combiner le segmentation et le annotation , mais ce approche ne être pas générique , et nécessiter un ajustement de implémentation ou un réécriture pour chaque modification des connaissance expert . dans ce travail , cln décrire un cadre de fonctionnement qui mélange segmentation et annotation afin de réduire le nombre de étape de segmentation , et cln présenter un résultat préliminaire qui montrer le faisabilité de le approche . son système fournir un ontologie générique qui décrire sous forme de concept le propriété de un objet ( géométrie , topologie , etc. ) , ainsi que un algorithme permettre de détecter ce concept . ce ontologie pouvoir être étendre par un expert pour décrire formellement un domaine spécifique . le description formel du domaine être alors utiliser pour réaliser automatiquement le assemblage de le segmentation et de le annotation de objet et de son propriété , en sélectionner à chaque étape le algorithme le plus pertinent , être donner le information sémantique déjà détecter . ce approche original comporter plusieurs avantage . tout de abord , cln permettre de segmenter et de annoter un objet sans aucun connaissance en traitement de image ou de maillage , en décrire uniquement le propriété de le objet en terme de concept ontologique . de plus , ce cadre de fontionnement pouvoir facilement être réutiliser et appliquer à différent contexte , dès lors que un ontologie de domaine avoir être définir . finalement , le réalisation conjoint de le segmentation et de le annotation permettre de utiliser de un manière efficace le connaissance expert , en réduire le erreur de segmentation et le temps de calcul , en lancer toujours le algorithme le plus pertinent . 	Thomas Dietenbeck, Ahlem Othmani, Marco Attene, Jean-Marie Favreau	2015		1002088
1	Analyse des paramètres de recherche d'information: Etude de l'influence des paramètres sur les résultats	analyse des paramètre de recherche de information : Etude de le influence des paramètre sur le résultat  ce article présenter un analyse détaillé de un ensemble de 2 million de résultat de recherche de information obtenir par différent paramétrage de système de recherche de information . plus spécifiquement , cln avoir utiliser le plateforme Terrier et le interface RunGeneration pour créer différent exécution ( run en anglais ) en modifier le modèle de indexation et de recherche . cln avoir ensuite évaluer chacun des résultat obtenir selon différent mesure de performance de recherche de information . un analyse systématique avoir être mener sur ce donnée afin de déterminer de un part quel être le paramètre qui avoir le plus de influence , de autre part quel être le valeur de ce paramètre le plus susceptible de conduire à un bon performance du système . 	Josiane Mothe, Marion Moulinou	2015	@irit.fr	1002059
2	Analyse et visualisation d'opinions dans un cadre de veille sur leWeb	analyse et visualisation de opinion dans un cadre de veille sur leWeb  le analyse de opinion être un tâche qui consister en le identification et le classification de texte subjectif . dans ce travail , cln clr intéresser au problème de analyse de opinion dans un contexte de veille sur le Web . cln proposer un approche pour visualiser le résultat de analyse de opinion , baser sur le utilisation de terme clé . cln décrire également le plateforme de veille sur leWeb AMIEI , au sein de lequel son approche avoir être implémenter . le démonstration consister en un expérimentation de le plateforme de veille AMIEI et du module de analyse de opinion sur un corpus de tweets politique . 	Mohamed Dermouche, Leila Khouas, Sabine Loudcher, Julien Velcin, Eric Fourboul	2015	@univ-lyon2.fr, @amisw.com	1002110
3	Analyse OLAP sur des tweets et des blogs : un retour d'expérience	analyse OLAP sur un tweets et des blog : un retour de expérience  le projet ANR IMAGIWEB dans lequel clr inscrire ce travail clr être donner pour mission de étudier le image véhiculer sur Internet en clr baser sur le détection de opinion . Deux cas de étude avoir être définir : ( 1 ) le premier viser à répondre aux besoin de analyse de chercheur en science politique grâce à un donnée issu de Twitter durant le campagne présidentiel de 2012 ; ( 2 ) le second devoir permettre à le entreprise français EDF de évaluer le opinion du public en matière de sécurité , de emploi et de prix à partir de billet de blog . dans ce article , cln présenter un retour de expérience sur le usage de le analyse en ligne OLAP ( OnLine Analytical Processing ) pour un donnée textuel , mettre en avant le intérêt de ce type de analyse pour le membre du projet . 	Brice Olivier, Cécile Favre, Sabine Loudcher	2015	@univ-lyon2.fr	1002106
4	Analyse visuelle pour la détection des intrusions	analyse visuel pour le détection des intrusion  " le démocratisation de Internet , coupler à le effet de le mondialisation , avoir pour résultat de interconnecter le personne , le états et le entreprise . . le côté déplaisant de ce interconnexion mondial des système de information résider dans un phénomène appeler " " Cybercriminalité " " . . cln proposer un méthode de visualisation de grand " " graphe " " et le exploitation de analyse statique des flux permettre de détecter le comportement anormal et dangereux afin de appréhender le risque de un façon compréhensible par tout le acteur . " 	David Pierrot, Nouria Harbi	2015	@univ-lyon2.fr	1002079
5	Choix d'une mesure de proximité discriminante dans un contexte topologique	choix de un mesure de proximité discriminant dans un contexte topologique  " le résultat de tout opération de classification ou de classement de objet dépendre fortement de le mesure de proximité choisir . . le utilisateur être amener à choisir un mesure parmi le nombreux mesure de proximité existant . . or , selon le notion de équivalence topologique choisir , certains être plus ou moins équivalent . . dans ce article , cln proposer un nouveau approche de comparaison et de classement de mesure de proximité , dans un structure topologique et dans un objectif de discrimination . . le concept de équivalence topologique faire appel à le structure de voisinage local . . cln proposer alors de définir le équivalence topologique entre deux mesure de proximité à travers le structure topologique induire par chaque mesure dans un contexte de discrimination . . cln proposer également un critère pour choisir le " " meilleur " " mesurer adapter aux donnée considérer , parmi quelque mesure de proximité le plus utiliser dans le cadre de donnée quantitatif . . le choix de le " " meilleur " " mesure de proximité discriminant pouvoir être vérifier avoir posteriori par un méthode de apprentissage supervisé de type SVM , analyse discriminant ou encore régression Logistique , appliquer dans un contexte topologique . . le principe de le approche proposer être illustrer à partir de un exemple de donnée quantitatif réel avec huit mesure de proximité classique de le littérature . . un expérimentation avoir permettre de évaluer le performance de ce approche topologique de discrimination en terme de taille et-ou de dimension des donnée considérer et de sélection de le " " meilleur " " mesure de proximité discriminant . " 	Fatima-Zahra Aazi, Rafik Abdesselam	2015	@gmail.com, @univ-lyon2.fr	1002069
6	Classification évidentielle avec contraintes d'étiquettes	classification évidentiel avec contrainte de étiquette  ce papier proposer un version améliorer de le algorithme de classification automatique évidentielle semi-supervisée SECM . celui -cus bénéficier de le introduction de donnée étiqueté pour améliorer le pertinence de son résultat et utiliser le théorie des fonction de croyance afin de produire un partition crédal qui généraliser notamment le concept de partition dur et flou . le pendant de ce gain de expressivité être un complexité qui être exponentiel avec le nombre de classe , ce qui imposer en retour le utilisation de schéma efficace pour optimiser le fonction objectif . cln proposer dans ce article un heuristique qui relâche le contrainte classique de positivité lier aux masse de croyance des méthode évidentiel . cln montrer sur un ensemble de jeu de donnée de test que son méthode de optimisation permettre de accélérer sensiblement le algorithme SECM avec un schéma de optimisation classique , tout en améliorer également le qualité de le fonction objectif . 	Violaine Antoine, Nicolas Labroche	2015	@univ-bpclermont.fr, @univ-tours.fr	1002071
7	Classification multi-label par raisonnement logique pour l'indexation sémantique de documents	classification multi-labeau par raisonnement logique pour le indexation sémantique de document  ce article présenter un solution centrer sur le ontologie pour le classification multi-labeau automatique de information nécessaire à un système de recommandation de information économique . 	David Werner, Christophe Cruz, Aurélie Bertaux	2015	@u-bourgogne.fr, @u-bourgogne.fr, @u-bourgogne.fr	1002114
8	Clustering topologique pour le flux de données	Clustering topologique pour le flux de donnée  actuellement , le clustering de flux de donnée devenir le moyen le plus efficace pour partitionner un très grand ensemble de donnée . dans ce article , cln présenter un nouveau approche topologique , appelé G-Stream , pour le clustering de flux de donnée évolutif . le méthode proposer être un extension de le algorithme GNG ( Growing Neural Gas ) pour gérer le flux de donnée . G-Stream permettre de découvrir de manière incrémental des cluster de forme arbitraire en ne faire que un seul passe sur le donnée . le performance de le algorithme proposer être évaluer à le fois sur un donnée synthétique et réel . 	Mohammed Ghesmoune, Mustapha Lebbah, Hanane Azzag	2015	@univ-paris13.fr	1002072
9	Cohérence des données de bases RDF en évolution constante	cohérence des donnée de base RDF en évolution constant  le maintien de le qualité et de le fiabilité de base de connaissance RDF du Web Sémantique être un problème courant . un nombreux proposition pour le intégration de « bon » donner avoir être faire , clr baser être sur le ontologie de ce base , soit sur un méta-donné additionnel . dans ce article , cln proposer un approche original , baser exclusivement sur le étude des donnée de le base . le principe être de déterminer si le modification apporter par le mise à jour candidat rendre le partie ciblé de le base plus similaire - selon certain critère - à un autre party existant dans le base . le mise à jour être considérer cohérent avec ce base et pouvoir être appliquer . 	Pierre Maillot, Thomas Raimbault, David Genest	2015	@devinci.fr, @univ-angers.fr	1002085
